run,timestep,Shue97_r_0,Shue97_a_0,Shue97_fit_loss,Shue97_grad_J_fit_over_ip,Shue97_delta_r_0,Shue97_time_taken_s,Liu12_r_0,Liu12_a_0,Liu12_a_1,Liu12_a_2,Liu12_d_n,Liu12_l_n,Liu12_s_n,Liu12_d_s,Liu12_l_s,Liu12_s_s,Liu12_fit_loss,Liu12_grad_J_fit_over_ip,Liu12_delta_r_0,Liu12_time_taken_s,Rolland25_r_0,Rolland25_a_0,Rolland25_a_1,Rolland25_a_2,Rolland25_d_n,Rolland25_l_n,Rolland25_s_n,Rolland25_d_s,Rolland25_l_s,Rolland25_s_s,Rolland25_e,Rolland25_fit_loss,Rolland25_grad_J_fit_over_ip,Rolland25_delta_r_0,Rolland25_time_taken_s
1,21000,10.1292,0.634917,1.76447,1.75544,-0.706425,0.0409914,10.8598,0.489819,-1.4177e-05,0.167345,3.39708,0.973792,0.354241,3.36398,0.976472,0.356469,0.724869,1.54052,0.0242169,0.778296,10.0657,0.378143,-0.000222768,0.173362,2.47749,1.02862,3.89653,2.4471,1.03353,3.80985,0.173896,0.665547,1.51672,-0.769921,1.40014
1,21300,10.1473,0.633283,1.72681,1.76326,-0.680351,0.0431034,10.4151,0.517245,0.00125186,0.157475,2.76333,0.977599,0.252753,0,1.78064,0.1,0.781255,1.61102,-0.412493,0.794209,10.1143,0.386307,-0.000232044,0.170091,2.51784,1.02924,3.88558,2.49443,1.03528,3.82607,0.164007,0.637079,1.50017,-0.713298,1.31157
1,21600,10.1544,0.632121,1.73827,1.7513,-0.624371,0.0404107,10.8545,0.491522,-1.77184e-05,0.164881,3.34486,0.979609,0.354414,3.32196,0.981336,0.355901,0.679656,1.49948,0.0757589,0.789862,10.1356,0.391016,-5.54173e-05,0.169943,2.52596,1.03173,3.8936,2.50831,1.03523,3.86036,0.157032,0.628333,1.47141,-0.64319,1.32809
1,21900,10.1615,0.631666,1.67735,1.72682,-0.658812,0.0426565,10.8604,0.493417,0.000745839,0.161854,3.3528,0.981467,0.358654,3.32866,0.982557,0.354911,0.645482,1.48913,0.040031,0.795374,10.134,0.390321,0.000947617,0.16702,2.52814,1.03681,3.7949,2.52009,1.03819,3.89009,0.160497,0.592371,1.44443,-0.686359,1.37732
1,22200,10.2227,0.628645,1.64912,1.75457,-0.61977,0.0418309,10.9256,0.492916,0.000774913,0.159483,3.43195,1.01929,0.353352,3.4168,1.02005,0.348082,0.610164,1.52894,0.0831547,0.793184,10.276,0.400447,0.00105728,0.164346,2.69956,1.03767,3.74637,2.69812,1.03875,3.87103,0.143458,0.565108,1.50337,-0.566464,1.25967
1,22500,10.4186,0.619627,1.59423,1.9702,-0.439903,0.0397567,11.2054,0.48172,0.000372901,0.158154,3.77469,1.07956,0.354825,3.76657,1.08,0.355079,0.565329,1.69978,0.346985,0.802577,10.8281,0.428719,0.000431557,0.162318,3.38659,1.07635,4.14467,3.38112,1.07713,4.15649,0.0807621,0.547808,1.6691,-0.0303219,1.38432
1,22800,10.4193,0.618833,1.47627,2.20501,-0.41956,0.0431252,11.2819,0.480644,0.00105031,0.155866,3.73215,1.09064,0.425799,3.71689,1.09082,0.42022,0.466771,1.70392,0.442955,0.729866,10.9152,0.436113,0.00126033,0.159757,3.38479,1.09416,3.70781,3.37709,1.09442,3.79937,0.0706341,0.459467,1.49778,0.0763264,0.955112
1,23100,10.2847,0.622438,1.46465,1.65828,-0.436651,0.0392608,11.0914,0.493337,0.000814075,0.14637,3.49198,1.03991,0.451269,3.4849,1.04224,0.441811,0.584184,1.25233,0.370013,0.692586,10.6149,0.429712,0.00121848,0.151458,2.99661,1.07538,3.32859,3.01769,1.07821,3.51781,0.0989358,0.572614,1.18932,-0.106435,0.877367
1,23400,10.253,0.622132,1.50049,1.35427,0.153423,0.0419143,10.9758,0.504897,-9.62357e-05,0.131968,3.6655,0.904463,0.3999,3.64413,0.906697,0.401674,0.720976,1.37455,0.876173,0.753828,10.092,0.378949,0.000202957,0.136418,2.59968,0.981017,3.71538,2.59193,0.984207,3.74624,0.196146,0.642698,0.986535,-0.00759942,1.09245
1,23700,10.1823,0.635344,1.56952,1.34903,0.240098,0.0464387,10.898,0.526079,0.00148468,0.116867,4.24448,0.775491,0.371908,4.24319,0.775828,0.366969,0.903547,1.28926,0.9558,0.721133,9.49026,0.297143,0.00176765,0.121086,2.16712,0.918458,4.59718,2.17819,0.920187,4.84161,0.350053,0.684431,1.13752,-0.451975,1.26276
1,24000,9.94488,0.668494,1.63896,1.30103,0.582962,0.0446074,10.5983,0.56807,0.000343899,0.100322,4.37844,0.712708,0.322578,4.3666,0.712851,0.322908,1.1464,1.33876,1.23635,0.641382,8.9634,0.2,0.000786689,0.109448,1.72244,0.844325,6.53314,1.71623,0.84521,6.58277,0.520955,0.778458,1.1489,-0.398512,1.68994
1,24300,9.7908,0.691749,1.71659,1.2734,0.436674,0.0439962,10.3951,0.603887,0.000875323,0.0869435,4.55229,0.690778,0.294473,4.54246,0.691142,0.293076,1.27218,1.1361,1.04095,0.632553,8.77867,0.2,-0.000356885,0.09913,1.75987,0.772517,7.16089,1.73756,0.774792,7.11845,0.558308,0.859124,1.04366,-0.575447,1.82359
1,24600,9.6831,0.705616,1.91418,1.37905,0.877002,0.0467875,10.2488,0.621022,0.00142655,0.0877655,4.68851,0.636374,0.291955,4.63998,0.634351,0.29167,1.41966,1.22038,1.44266,0.621185,8.61509,0.2,0.000689121,0.0964077,1.85719,0.703442,7.30007,1.80955,0.706754,7.32334,0.583399,0.941438,1.21559,-0.191007,1.86176
1,24900,9.59046,0.719858,2.00159,1.3244,0.967206,0.0459589,10.1699,0.629026,0.000831828,0.097408,4.86561,0.621135,0.287488,4.84604,0.622141,0.287074,1.43659,1.19326,1.54662,0.557585,8.55083,0.2,0.000265676,0.107164,2.03177,0.645179,6.52331,1.98125,0.684057,7.05667,0.589239,0.934493,1.31553,-0.0724186,1.91147
1,25200,9.60335,0.722888,2.17999,1.09997,0.986526,0.044095,10.1936,0.62844,0.00116372,0.103293,5.1856,0.623108,0.282621,5.16094,0.622627,0.282172,1.52302,1.13018,1.57673,0.591455,8.53842,0.2,0.000423027,0.110244,2.38981,0.645898,6.80126,2.34417,0.64419,6.73167,0.593575,0.966557,1.32313,-0.0784022,1.89658
